RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
395059,"San Jose, CA",33,670900,639500,611600,593400,581100,567100,541300,510200,471700,446200,436300,431100,411900,393600,385500,402700,430200,454e3,465600,469500,473600,486100,495200,499400,498800,489800,491700,493500,505500,512200,516200,514700,513500,509100,503200,484100,476400,470200,477900,486e3,489400,496300,495200,488500,482700,476400,481100,475500,479500,487700,503e3,522100,542800,566400,576700,581900,584100,587500,602800,608800,617800,620700,631200,636900,638600,642300,647e3,650400,653300,654900,667900,675300,688800,692800,696100,699900,696e3,702500,706400,715100,722e3,728300,733300,741100,745600,749400,756400,768400,785e3,801600,804200,805600,801600,809700,809e3,808500,807700,815900,822500,822100,825400,824900,834900,842600,846800,837600,840400,850400,869700,867100,865900,870900,883600,894100,919700,941400,968100,999e3,1020900,1061900,1100200,1121400,1126200,1096e3,1085400,1091800,1095100,1122900,1088300
394355,"Austin, TX",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225900,223300,227400,233500,236700,238300,237e3,239800,240600,239600,239500,239500,245300,247500,248600,246800,247300,248100,252300,252800,253500,253800,255900,260900,262400,264e3,264700,268100,269700,270100,269500,272100,272700,273400,274100,275500,276900,276e3,276100,276700,277800,279200,282400,284300,289100,287500,289e3,287500,287500,286800,289900,296600,299700,299800,291200
395194,"Virginia Beach, VA",35,223500,219700,216e3,210600,209800,209400,209800,207900,206400,205300,207700,210500,213500,211400,209600,204200,201900,201e3,204300,206300,203600,202300,204600,207e3,209e3,204300,202400,197500,199e3,199100,201500,196500,197400,198900,205400,201400,193100,182900,177800,172400,170600,173200,178900,180900,178900,178300,179400,182100,184100,184900,187400,184900,184100,182800,190300,194900,196e3,192600,193400,192800,193e3,190800,189900,191500,193200,197400,196500,195900,194200,193300,191200,19e4,191900,193300,192700,191200,189200,190200,190600,193e3,192900,193600,192800,195400,197400,198e3,200100,199100,203200,202100,204700,201300,199300,199200,203e3,205100,204200,204300,206200,207400,207500,205900,204700,205e3,209400,211400,213700,215100,214100,214600,211400,214100,213e3,213100,212700,214700,216600,217700,222500,224400,227800,221700,221900,217800,217900,215600,217200,219300,
394902,"Nashville, TN",36,150900,149400,147500,146e3,145e3,143900,142500,142600,141700,140400,141300,142400,143100,141400,138600,138300,138300,139900,140400,141100,140300,140900,142500,143400,145300,142900,143200,141e3,140600,140200,142900,144100,143700,142100,144e3,143900,142500,140500,138500,137900,137300,141100,139400,138600,135600,138400,139300,141300,140500,140400,140800,141300,143200,144800,145900,146600,145e3,147800,149400,151700,150700,151700,154300,156300,158900,159500,159700,158500,157800,159200,158700,163400,165e3,167600,165100,166900,167600,169e3,168500,169e3,172200,175200,177300,178800,180800,182100,182800,183e3,181600,181600,183100,187400,189800,187900,190500,190900,193500,193400,195800,199400,201900,204800,207100,212100,212600,214900,218200,221e3,223200,221600,222600,222900,224500,227e3,230500,232200,235800,237e3,243800,247900,253100,253400,250500,248200,244100,246900,245700,249400,
394862,"Milwaukee, WI",37,193400,186700,181500,176300,174300,173800,176e3,175100,176900,175900,176300,173e3,170200,166200,161700,160700,159600,161800,162700,166e3,168100,169600,173100,180500,182700,178e3,169300,164500,168200,172500,175300,173100,172600,176100,179700,186800,178700,170300,160600,161200,166700,166e3,168800,166e3,164200,164900,167100,167400,162300,160700,158400,160300,161800,166800,168300,167500,157100,158500,161900,173600,175200,173200,171700,170200,172400,174100,174900,172100,171100,170800,172600,171500,171300,168600,169700,169500,174800,176600,180400,179e3,183100,185700,186300,184600,181400,184700,187300,190200,187400,193100,190700,192900,182800,183400,178800,183200,183600,187800,185300,188200,186e3,186100,184700,189e3,190600,189300,193900,196600,200400,197600,197600,196900,197200,197900,197800,197900,202600,204600,207700,206300,205700,206500,203400,207900,208400,208400,208600,206700,
394849,"Memphis, TN",38,112900,111200,105600,104300,101900,104200,102100,101700,96900,93700,90600,94700,98300,99900,95400,95400,97800,102700,106500,110900,114200,114400,110700,103800,99700,100500,103600,103100,95500,89400,88400,90300,99800,101600,104e3,100900,99200,95900,88800,87200,84100,85600,91200,95600,96500,93400,95800,95400,94800,92e3,92100,90600,92200,93e3,96100,97400,104700,107100,110600,108500,106900,102500,100300,104300,111e3,112400,113300,112300,114200,114700,116200,119100,122e3,121100,123300,120300,125400,124500,125e3,128700,130200,131200,126600,127800,130400,130600,128900,128e3,125700,125400,125800,125900,124600,123300,124500,125800,126700,130800,132700,135100,134e3,136800,135e3,135100,136300,14e4,140200,138700,137100,138700,139400,140900,139600,140400,142200,145800,151e3,152900,155400,153500,153500,153100,153700,153200,151e3,147800,147100,149300,
394935,"Oklahoma City, OK",39,102700,104800,105100,108900,108400,110800,108500,108900,107300,106300,106700,107700,111300,111200,112e3,112800,114200,114200,113600,112900,113300,111900,108800,107900,111e3,116e3,116600,115300,112200,110300,109400,109900,113500,114800,116600,117e3,115700,114300,114300,113700,115400,114500,117200,118e3,118100,118300,119100,121400,121200,121100,121400,120200,120200,121e3,125300,128900,131300,130700,130100,128400,129800,128900,128800,127500,129400,132200,133300,132600,131300,130800,130300,130500,132600,134e3,134200,133700,134200,135e3,136200,137600,138300,140600,140800,141600,138300,137100,14e4,144800,148100,147900,147400,148600,148200,148900,150700,151200,149800,146800,144200,144600,143400,143500,143300,144200,144600,143600,144600,145e3,145e3,145700,146900,148500,148500,147800,147500,146100,147e3,148400,148400,150900,150300,148700,147100,146100,148500,149300,151900,155e3,
394807,"Louisville-Jefferson County, KY",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130900,129300,128900,127100,127900,129700,131400,131800,133300,135500,135700,134500,131400,133100,133400,139200,143900,148400,149600,149800,148600,146300,143400,145800,148800,156200,158200,159800,154500,152600,152200,153800,155600,156700,158300,157800,156900,157500,159200,159300,157800,156100,156800,157200,158100,156800,156900,159400,162e3,165800,167700,172700,170100,168200,165100,165300,166900,165800,165700,165700,
394669,"Hartford, CT",41,236700,233900,225300,215600,208800,207200,208500,210600,215800,214600,213600,212900,217700,216400,211800,206700,205400,202200,200800,201100,207900,213700,219300,222900,225900,222500,217e3,208600,207600,206100,204800,207700,216700,226200,230800,224700,221400,219300,217400,212300,206300,200700,203100,202800,207400,203500,205200,203800,205600,201700,204500,203500,206400,200800,198e3,199700,202e3,208900,207900,204600,198700,199900,203200,206100,204600,205600,205700,206200,206800,206e3,209100,211600,211700,207e3,202500,201200,202e3,201300,202e3,200100,204200,203800,200900,196400,197700,201100,200700,200400,197900,197800,197300,198200,198400,198700,200500,207400,207600,207400,205700,207100,204300,200900,204100,208600,208500,205300,205700,207e3,205900,203200,202e3,203100,205400,205900,205300,205300,208700,210200,212300,214700,221700,224700,223400,217400,215e3,214e3,211500,209200,
395022,"Richmond, VA",42,210900,210100,205600,201e3,199800,200100,198700,198300,196200,197800,195900,201100,197700,194900,188400,186300,183500,181900,182900,186900,189100,191600,192400,195300,191400,190600,184e3,180200,173800,176600,177600,178600,177400,177800,179800,177500,176300,174200,168200,164200,162200,165500,169500,169600,170200,172600,169e3,167600,163e3,167700,167300,169700,170500,170300,170200,168200,173e3,177100,179800,178900,175300,175500,175800,179800,179500,183e3,182300,184400,179e3,178600,178400,180700,181200,181300,181500,183200,184500,187400,187e3,188400,189700,194800,194500,197200,194200,193600,193700,194100,196900,195700,194600,194e3,193600,196700,200500,202e3,201900,200100,200200,200100,200800,201400,203300,204100,208800,208500,208900,209400,211300,213e3,211100,210400,210600,209700,210600,208300,211900,218400,224200,225800,222800,223900,221300,221500,221400,223100,224900,226600,
